p1_cohort,p1_pheno,p1_cluster,p1_version,p2_cohort,p2_pheno,p2_cluster,p2_version,pgi,SE,CI,Z,P (Z)
AllOfUs,N06AB,EAS,v7_2411,FinnGen,N06A,EUR,R9,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06AB,EAS,v7_2411,GenScot,N06A,EUR,rmUKBB_2309,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06AB,EAS,v7_2411,GenScot,N06AA,EUR,rmUKBB_2309,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06AB,EAS,v7_2411,GenScot,N06AB,EUR,rmUKBB_2309,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06AB,EAS,v7_2411,UKB,N06A,SAS,21007_2309,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06AB,EAS,v7_2411,UKB,N06AA,SAS,21007_2309,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06AB,EAS,v7_2411,UKB,N06AB,SAS,21007_2309,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06AB,EUR,v7_2411,AllOfUs,N06AB,SAS,v7_2411,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06AB,EUR,v7_2411,UKB,N06A,SAS,21007_2309,0.33674967889996305,0.4084028636927052,"(-0.464, 1.137)",1.6240099667838928,0.10437368142633496
AllOfUs,N06AB,EUR,v7_2411,UKB,N06AA,SAS,21007_2309,1.3740644580608834,1.1939330018361114,"(-0.966, 3.714)",-0.3133043960470325,0.7540494105871195
AllOfUs,N06AB,EUR,v7_2411,UKB,N06AB,SAS,21007_2309,0.5537133885620111,0.6158093846901596,"(-0.653, 1.761)",0.724715508618848,0.4686265788524568
FinnGen,N06A,EUR,R9,UKB,N06A,SAS,21007_2309,0.5223197166138716,0.2778831908182451,"(-0.022, 1.067)",1.718996683389045,0.08561497583837974
FinnGen,N06A,EUR,R9,UKB,N06AA,SAS,21007_2309,0.4606557997085165,0.5544351184396453,"(-0.626, 1.547)",0.972781453327429,0.330661932364695
FinnGen,N06A,EUR,R9,UKB,N06AB,SAS,21007_2309,0.4623665493959452,0.28658012415066264,"(-0.099, 1.024)",1.8760318853145823,0.06065090170157483
GenScot,N06A,EUR,rmUKBB_2309,UKB,N06A,SAS,21007_2309,1.128869398896015,0.94835723657534865,"(-0.73, 2.988)",-0.13588697795082005,0.8919106300724619
GenScot,N06A,EUR,rmUKBB_2309,UKB,N06AA,SAS,21007_2309,1.0350352162107896,1.6404099726936665,"(-2.18, 4.25)",-0.02135759767008694,0.982960398000206
GenScot,N06A,EUR,rmUKBB_2309,UKB,N06AB,SAS,21007_2309,0.29601947679504065,0.9457794579247784,"(-1.558, 2.15)",0.7443389865430444,0.4566714207811261
GenScot,N06AA,EUR,rmUKBB_2309,UKB,N06A,SAS,21007_2309,2.0817037039086403,1.450249890283558,"(-0.761, 4.924)",-0.7458740118898695,0.4557435254575341
GenScot,N06AA,EUR,rmUKBB_2309,UKB,N06AA,SAS,21007_2309,1.101316563615054,2.223299073832599,"(-3.256, 5.459)",-0.04557037098945091,0.9636526851539728
GenScot,N06AA,EUR,rmUKBB_2309,UKB,N06AB,SAS,21007_2309,-0.35464506394872697,1.4223854557840094,"(-3.142, 2.433)",0.9523755030256938,0.3409065785876326
GenScot,N06AB,EUR,rmUKBB_2309,UKB,N06A,SAS,21007_2309,-0.8416331651107468,1.5063626531968506,"(-3.794, 2.111)",1.2225695858844976,0.2214923063662124
GenScot,N06AB,EUR,rmUKBB_2309,UKB,N06AA,SAS,21007_2309,-0.15033487839289558,1.6251082379258042,"(-3.335, 3.035)",0.7078512381803673,0.4790376435125364
GenScot,N06AB,EUR,rmUKBB_2309,UKB,N06AB,SAS,21007_2309,-1.1646443015734624,2.038527945791804,"(-5.16, 2.831)",1.061866385517061,0.28829634711980423
UKB,N06A,AFR,21007_2309,UKB,N06A,AMR,21007_2309,-1.6033593381224205,25.509459228765053,"(-51.601, 48.394)",0.10205466587025148,0.9187132844587452
UKB,N06A,AFR,21007_2309,UKB,N06A,EAS,21007_2309,NA,NA,"(NaN, NaN)",NA,NA
UKB,N06A,AFR,21007_2309,UKB,N06A,SAS,21007_2309,NA,NA,"(NaN, NaN)",NA,NA
UKB,N06A,AFR,21007_2309,UKB,N06AA,SAS,21007_2309,NA,NA,"(NaN, NaN)",NA,NA
UKB,N06A,AFR,21007_2309,UKB,N06AB,SAS,21007_2309,NA,NA,"(NaN, NaN)",NA,NA
UKB,N06A,AMR,21007_2309,UKB,N06A,EAS,21007_2309,-10.260586456356338,98.8990308659123,"(-204.099, 183.578)",0.11385942165220492,0.909349233143295
UKB,N06A,AMR,21007_2309,UKB,N06A,SAS,21007_2309,NA,NA,"(NaN, NaN)",NA,NA
UKB,N06A,AMR,21007_2309,UKB,N06AA,SAS,21007_2309,NA,NA,"(NaN, NaN)",NA,NA
UKB,N06A,AMR,21007_2309,UKB,N06AB,SAS,21007_2309,NA,NA,"(NaN, NaN)",NA,NA
UKB,N06A,EAS,21007_2309,UKB,N06A,SAS,21007_2309,1.535314830845303,4.571505020123346,"(-7.425, 10.495)",-0.1170981609970669,0.9067822670233416
UKB,N06A,EAS,21007_2309,UKB,N06AA,SAS,21007_2309,3.5368029784391957,8.802466879785394,"(-13.716, 20.789)",-0.28819227758355886,0.7731995597413047
UKB,N06A,EAS,21007_2309,UKB,N06AB,SAS,21007_2309,-1.5540580542033868,4.402119328343393,"(-10.182, 7.074)",0.5801882828933969,0.5617876542996343
UKB,N06AA,AFR,21007_2309,UKB,N06AA,SAS,21007_2309,-1.9888641860724376,8.332332557341553,"(-18.32, 14.342)",0.3587067805447795,0.7198144553884056
